crater_id,lat,lon,diameter_km,depth_km,is_extreme_polar,qc_status,qc_notes
10-1-088622,-82.8972,280.169,1.03065,,False,pending,
10-1-113224,-81.1375,165.701,1.12961,,False,pending,
10-1-056796,-76.4861,41.5822,1.13831,,False,pending,
10-1-056429,-79.3065,2.7165,1.14681,,False,pending,
10-1-119811,-79.8089,195.702,1.19185,,False,pending,
10-1-133570,-75.7771,183.469,1.1962,,False,pending,
10-1-108953,-80.75,144.54,1.22879,,False,pending,
10-1-056588,-79.5473,12.0293,1.24499,,False,pending,
10-1-068481,-82.4366,5.05501,1.35871,,False,pending,
10-1-096709,-83.7709,113.358,1.48088,,False,pending,
10-1-088343,-84.6078,79.8197,1.48176,,False,pending,
10-1-122888,-78.9897,168.437,1.52606,,False,pending,
10-1-086608,-77.9876,80.4088,1.52821,,False,pending,
10-2-007474,-86.3465,100.934,1.53543,,True,pending,
10-1-126833,-76.1699,154.814,1.64057,,False,pending,
10-1-088296,-82.9532,77.1729,1.7111,,False,pending,
10-1-097256,-81.6922,247.135,1.80875,,False,pending,
10-1-082775,-78.5825,71.8345,1.81002,,False,pending,
10-1-108821,-79.5197,130.624,1.84706,,False,pending,
10-1-083915,-78.3916,285.207,1.84899,,False,pending,
10-1-065325,-80.7905,29.7237,1.86721,,False,pending,
10-1-069334,-80.4131,319.382,1.96476,,False,pending,
10-1-079819,-81.2391,61.7638,2.08428,,False,pending,
10-1-065558,-78.9835,39.424,2.12104,,False,pending,
10-1-086551,-79.436,77.9142,2.12667,,False,pending,
10-1-116970,-78.2628,214.396,2.13204,,False,pending,
10-2-003271,-84.8804,49.0653,2.14188,,False,pending,
10-2-013231,-83.1518,121.907,2.15175,,False,pending,
10-1-082505,-76.9152,72.6778,2.17097,,False,pending,
10-1-053104,-77.4923,12.4661,2.34935,,False,pending,
10-1-113347,-81.1151,153.514,2.38097,,False,pending,
10-1-126568,-77.2409,177.058,2.48552,,False,pending,
10-1-123541,-77.0706,214.302,2.48747,,False,pending,
10-1-079374,-84.8639,25.3227,2.52022,,False,pending,
10-1-068152,-76.461,56.2223,2.53519,,False,pending,
10-1-085177,-75.1804,279.562,2.57766,,False,pending,
10-2-003975,-86.9602,23.4145,2.60005,,True,pending,
10-2-012869,-75.9271,269.422,2.64734,,False,pending,
10-1-088993,-78.1449,278.522,2.70274,,False,pending,
10-1-088372,-85.2366,80.0288,2.70585,,True,pending,
10-1-060802,-80.3131,1.83595,2.72806,,False,pending,
10-1-055939,-78.486,331.563,2.76847,,False,pending,
10-1-133494,-75.7892,191.103,2.79335,,False,pending,
10-1-083097,-82.6692,66.6804,2.857,,False,pending,
10-1-083998,-76.908,284.247,3.01633,,False,pending,
10-1-120098,-79.2753,167.324,3.20826,,False,pending,
10-2-000792,-77.4839,266.335,3.30142,,False,pending,
10-2-001351,-87.274,328.717,3.32764,,True,pending,
10-1-109803,-77.0912,237.218,3.35391,,False,pending,
10-1-129265,-75.2328,158.204,3.36225,,False,pending,
10-1-088144,-78.7901,82.3913,3.37522,,False,pending,
10-1-133752,-75.2904,173.533,3.4004,,False,pending,
10-1-078733,-79.5279,292.026,3.40651,,False,pending,
10-1-056532,-79.186,7.38624,3.40786,,False,pending,
10-2-002800,-84.6933,321.091,3.42366,,False,pending,
10-2-000393,-77.7869,10.6982,3.56145,,False,pending,
10-1-129447,-76.0107,165.606,3.58595,,False,pending,
10-2-000353,-75.9586,333.827,3.60818,,False,pending,
10-1-094401,-87.8722,150.887,3.65994,,True,pending,
10-1-105851,-83.4478,171.015,3.70467,,False,pending,
10-1-077087,-76.3416,291.337,3.70983,,False,pending,
10-1-109387,-81.6542,202.919,3.70997,,False,pending,
10-1-097124,-85.6199,221.761,3.71389,,True,pending,
10-1-102198,-84.2372,156.781,3.82025,,False,pending,
10-1-123409,-77.7074,206.201,3.91019,,False,pending,
10-1-170189,-79.3245,353.648,3.95727,,False,pending,
10-1-105122,-78.9514,238.171,4.02419,,False,pending,
10-1-061142,-79.7698,346.743,4.03479,,False,pending,
10-1-109750,-78.3549,233.286,4.03742,,False,pending,
10-1-056833,-76.2309,38.0936,4.05665,,False,pending,
10-1-130052,-75.0086,205.666,4.08217,,False,pending,
10-1-116307,-80.4029,160.775,4.10485,,False,pending,
10-1-133812,-75.7603,169.368,4.25886,,False,pending,
10-1-105690,-83.019,194.357,4.26223,,False,pending,
10-1-105285,-81.2147,228.238,4.30846,,False,pending,
10-1-079055,-84.805,322.019,4.44718,,False,pending,
10-1-105444,-83.0055,217.137,4.46385,,False,pending,
10-1-078740,-78.9155,288.704,4.56649,,False,pending,
10-2-001255,-84.8093,325.969,4.57627,,False,pending,
10-1-119512,-76.7201,221.486,4.58474,,False,pending,
10-1-105166,-79.8902,233.097,4.59844,,False,pending,
10-1-061317,-79.0971,325.49,4.60001,,False,pending,
10-1-090004,-77.7206,269.242,4.6235,,False,pending,
10-2-001512,-87.4502,295.419,4.7219,,True,pending,
10-1-053361,-78.2932,348.81,4.73171,,False,pending,
10-2-005569,-86.5634,290.009,4.77592,,True,pending,
10-1-071915,-81.2691,317.277,4.9335,,False,pending,
10-1-076894,-78.6637,298.685,4.95912,,False,pending,
